date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:18	1107/1107	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Jun%202023%2023:17:15%20GMT	https://atxhost.xyz/robots.txt		(from )
20:17:19	4464/4464	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2023:17:16%20GMT	https://atxhost.xyz/	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/index.html	(from )
20:17:21	2989/2989	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Jun%202023%2023:17:18%20GMT	https://atxhost.xyz/img/favicon.ico	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/img/favicon.ico	(from https://atxhost.xyz/)
20:17:23	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://atxhost.xyz/)
20:17:25	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://atxhost.xyz/)
20:17:27	2936/2936	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/owlcarousel/assets/owl.carousel.min.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/owlcarousel/assets/owl.carousel.min.css	(from https://atxhost.xyz/)
20:17:28	9060/9060	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://atxhost.xyz/)
20:17:30	164122/164122	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/css/bootstrap.min.css	(from https://atxhost.xyz/)
20:17:31	5323/5323	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/css/style.css	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/css/style.css	(from https://atxhost.xyz/)
20:17:33	2989/2989	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Jun%202023%2023:17:30%20GMT	https://atxhost.xyz/audios/bemvindo.mp3	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/audios/bemvindo.mp3	(from https://atxhost.xyz/)
20:17:35	4949/4949	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2023:17:32%20GMT	https://atxhost.xyz/registrar	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/registrar.html	(from https://atxhost.xyz/)
20:17:37	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/code.jquery.com/jquery-3.4.1.min.js	(from https://atxhost.xyz/)
20:17:38	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://atxhost.xyz/)
20:17:40	194890/194890	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/chart/chart.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/chart/chart.min.js	(from https://atxhost.xyz/)
20:17:41	2302/2302	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/easing/easing.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/easing/easing.min.js	(from https://atxhost.xyz/)
20:17:43	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/waypoints/waypoints.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/waypoints/waypoints.min.js	(from https://atxhost.xyz/)
20:17:45	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/owlcarousel/owl.carousel.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/owlcarousel/owl.carousel.min.js	(from https://atxhost.xyz/)
20:17:47	326657/326657	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/tempusdominus/js/moment.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/tempusdominus/js/moment.min.js	(from https://atxhost.xyz/)
20:17:49	32832/32832	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/tempusdominus/js/moment-timezone.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/tempusdominus/js/moment-timezone.min.js	(from https://atxhost.xyz/)
20:17:50	56879/56879	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/tempusdominus/js/tempusdominus-bootstrap-4.min.js	(from https://atxhost.xyz/)
20:17:53	5700/5700	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/js/main.js	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/js/main.js	(from https://atxhost.xyz/)
20:17:54	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	/storage/emulated/0/HTTrack/Websites/Apagaessa/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
20:17:56	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	/storage/emulated/0/HTTrack/Websites/Apagaessa/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
20:17:57	4976/4976	---M--	200	added ('OK')	image/png	date:Sun,%2008%20May%202022%2023:44:16%20GMT	https://atxhost.xyz/lib/owlcarousel/assets/owl.video.play.png	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/lib/owlcarousel/assets/owl.video.play.png	(from https://atxhost.xyz/lib/owlcarousel/assets/owl.carousel.min.css)
20:18:01	4464/4464	---M-Z	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2023:17:58%20GMT	https://atxhost.xyz/index	/storage/emulated/0/HTTrack/Websites/Apagaessa/atxhost.xyz/index-2.html	(from https://atxhost.xyz/registrar)
20:18:03	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
